Unnamed: 0,Company,Total GHG
421,Reynolds group holdings inc.,1276996.0
422,City of independence,177257.0
423,Islip resource recovery agency,67780.0
424,The boeing company,89463.0
425,Agave energy company,27602.0
426,Metropolitan government of nashville and davidson county,118592.0
427,"Orion engineered carbons, llc",593572.0
428,"Bospower partners, llc",256786.0
429,Trustees of boston university,54444.0
430,Allete,9559457.0
431,Northern tier solid waste authority,26164.0
432,Constellation energy,8415582.0
433,Jea,12657952.4
434,Panda energy,262242.0
435,Bridgeport energy llc,1260052.0
436,Bristol-myers squibb company,67160.0
437,"T s landfill, inc.",8929.0
438,City of pasadena,72492.0
439,New york city department of environmental protection,42741.0
440,B-41 associates,505558.5
441,Mission energy new york,505558.5
442,"Cemex, inc",1302441.0
443,City of brownsville,125798.0
444,"Ppl generation, llc",18680435.0
445,Bicent power llc,954070.23
446,"Veresen u.s. power, inc.",57469.0
447,City of bryan,78324.0
448,Consol energy inc.,180081.0
449,"Buchanan generation, llc",15120.5
450,Hess corproation,523431.0
451,", llc",43315.0
452,Alliant energy corporation,12810359.88
453,"Enterprise gas processing, llc",421710.92
454,"Algonquin gas transmission, llc",183066.0
455,Public works commission of the city of fayetteville,51017.0
456,City of lakeland - lakeland electric,2021485.1
457,City of orlando - ouc,340875.9
458,Grand island utilities department,671794.0
459,Imerys usa inc.,321977.0
460,Citizens energy group,401955.0
461,Transalta corporation,41595.0
462,Cabot corporation,808433.0
463,Cabot corporation,5389.0
464,Norit americas inc.,463261.0
465,Los angeles county sanitation districts,854356.0
466,"Transworld oil usa, inc.",371809.0
467,Calgon carbon corporation,36335.0
468,"California dairies, inc.",157460.0
469,Jfe holdings,83826.0
470,Vale sa,83826.0
471,Calumet specialty products partners,32736.0
472,"Calumet shreveport lubricants and waxes, llc",369114.0
473,"Calumet lubricants company, l.p.",105262.0
474,"Calumet lubricants company, lp",112249.0
475,Murphy oil corporation,1499196.0
476,Foster wheeler power systems,5.94
477,City of farmers branch,140315.0
478,"Psi midstream partners, l.p.",108266.0
479,Campbell soup company,226290.0
480,"Lopez foods, inc.",4383.0
481,"Eagle rock field services, l.p.",60630.0
482,City of canton sanitary landfi8ll,28833.0
483,Cape may county municipal utilities authority,61198.0
484,Capitol aggregates,355696.0
485,"United states of america, acting by and through the architect of the capitol",83114.0
486,"Caraustar industries, inc.",113250.0
487,Carbo ceramics inc.,203570.0
488,"Carbon green bioenergy, llc",76922.0
489,"Cardinal cogen, inc.",243280.0
490,"Cardinal ethanol, llc",164125.0
491,"Cardinal glass industries, inc.",192183.0
492,Cardinal glass industries,94252.0
493,Cardinal glass industries inc,95088.0
494,Cardinal fg,95028.0
495,Carestream health inc.,26003.0
496,Cargill,82944.0
497,Cargill incorporated,2450021.0
498,"Cargill, incorporated",345827.0
499,"Cargill, inc.",103637.0
500,"Eagle rock field services, l.p.",44759.0
501,International textile group,33992.0
502,Precision cast parts corp.,26077.0
503,Carmeuse lime and stone inc.,396870.5
504,"Carmeuse lime & stone, inc.",3189183.0
505,"Carmeuse lime, inc.",87589.0
506,Carmeuse lime and stone,251773.0
507,"Carmeuse lime & stone, inc",633791.0
508,Carmeuse lime & stone,827405.0
509,Carolina stalite company,70999.0
510,Carpenter technology corporation,152937.0
511,Carus corporation,27017.0
512,International grand investment corporation,78490.0
513,"Schnitzer steel industries, inc.",70575.0
514,Cascades usa inc,25324.0
515,City of casper,54911.0
516,Caterpillar inc.,143765.0
517,Maricopa county solid waste managment,33250.0
518,"Cc metals and alloys, llc",386849.0
519,Patara oil & gas llc,56162.0
520,"Cemex, inc.",727001.0
521,Cemex inc.,50341.0
522,Cemex,2241276.0
523,"Cemex, inc",1460857.36
524,"Cemex, inc.",440288.0
525,"Cemex de puerto rico, inc.",361202.0
526,Center ethanol company llc,88702.0
527,"Farmers union industries, llc",56672.0
528,Central michigan university,14604.0
529,"Central indiana ethanol, llc",75177.0
530,County of maui,24300.0
531,Waste corporation of missouri,146748.0
532,Local government,48895.0
533,Worcester county department of public works,127671.0
534,"Transload america, inc.",111065.0
535,Century aluminum company,520387.0
536,City of albuquerque,30728.0
537,Certainteed corporation,74438.0
538,Saint-gobain north america,103216.0
539,Saint-gobain corporation north america inc.,40230.0
540,Saint-gobain corporation,30952.0
541,Evraz inc. na,286132.0
542,"Cf industries holdings, inc.",9229042.0
543,"Cf industries, inc.",1448598.0
544,Carroll grayson galax solid waste authority,41535.0
545,Cgs services inc.,158891.0
546,"Chalk cliff, ltd.",174645.0
547,Chalmette refining llc,1833245.0
548,Lyondellbasell industries,6012990.0
549,Gerdau,324142.0
550,Charles county department of public facilities,47096.0
551,City of garland,189000.0
552,Charleston county government,117100.0
553,"Charlotte county, fl",581254.0
554,Charlotte pipe & foundry company,29493.0
555,Charter manufacturing,136993.0
556,Charter manufacturing co. inc.,96865.0
557,City of mobile environmental services dept.,38080.0
558,"Waste management, inc.",1298593.75
559,"Quantum resources management, llc",129528.0
560,E. i dupont de nemours and company,5795.0
561,E.i. du pont de nemours and company,59183.0
562,E. i. dupont de nemours and company,1800616.0
563,E.i. dupont de nemours and company,4362060.0
564,"Casella waste systems, inc.",639677.0
565,"Aurora energy, llc",390200.0
566,Lsb chemical corporation,411709.0
567,"Merck & co., inc.",241791.0
568,Chevron phillips chemical company lp,1846346.0
569,Chevron corporation,23546.5
570,Conoco phillips,43920.0
571,City of cheyenne,71992.0
572,Ameresco chicopee lfgte,44456.0
573,"Ziemax, inc.",44456.0
574,"Chief industries, inc.",179171.0
575,Childrens hospital medical center,27704.0
576,County of kern,18945.0
577,Chippewa valley agrafuels cooperative,72493.0
578,Conoco phillips,122351.0
579,Spectra energy corp,142724.5
580,Chrin brothers inc.,77979.0
581,"O'brien industrial holdings, llc",28024.0
582,"Chs, inc.",890627.0
583,Chs inc.,147819.0
584,National cooperative refining ass,897904.0
585,Gtl resources usa inc,141730.69999999998
586,"Chugach electric association, inc.",1326254.0
587,Csu trustees and csuci site authority,106110.0
588,El paso corporation,2292359.0
589,"Sanofi aventis, inc.",36553.0
590,Pdv holding inc,1573571.0
591,Pdv holding inc.,6353672.0
592,Citrus county board of county commission,309993.0
593,"Citrus world, inc.",76737.0
594,City and county of honolulu,128409.0
595,City of albemarle landfill,36605.0
596,City of amarillo,132218.0
597,City of baton rouge,140603.0
598,City of beaumont,243220.0
599,"City of bozeman, montana",14779.0
600,"City of chattanooga, tennessee",199895.0
601,City of conway,106196.0
602,City of corsicana,87340.0
603,City of denton,35053.0
604,City of durham,12379.0
605,City of edinburg,113955.0
606,City of elko,23509.0
607,The city of fargo,114723.0
608,City of flagstaff,85633.0
609,City of fort worth,206698.0
610,"City of fresno, department of public utilities",13958.0
611,City of glendale,49616.0
612,City of grand prairie,111975.0
613,"City of greensboro, north carolina",334279.0
614,City of harrisonburg resource recovery facility,15473.0
615,"City of lagrange, georgia",37857.0
616,City of logan,48169.0
617,City of lompoc,34829.0
618,City of midland,202771.0
619,City of mountain view,68348.0
620,Muscatine county solid waste agency,49601.0
621,City of phoenix,185350.0
622,City of santa cruz,8926.0
623,City of snyder,22820.0
624,City of sunnyvale,2434.0
625,City of tifton,47345.0
626,City of ukiah,26214.0
627,City of watsonville,9595.0
628,Les,32095.0
629,"Clarion industries, inc",12918.0
630,Clark county board of commissioners,49422.0
631,Floyd county board of commissioners,49422.0
632,Clear air force station - us air force,89993.0
633,Celanese corporation,831421.0
634,Clearwater paper corporation,431185.0
635,Clemson university,28187.0
636,Local county government,120847.0
637,"Cleveland thermal, llc",173349.0
638,U.s. sugar corp.,39297.0
639,Clinton county solid waste authority,44362.0
640,Clinton county area solid waste agency,38526.0
641,"Coulter companies, inc.",174505.0
642,"Clover flat landfill, inc.",16743.0
643,City of clovis,40532.0
644,Commercial metals company,393834.0
645,Northwestern energy,15664.0
646,Coffee county commission,67585.0
647,Cvr energy,1234378.0
648,"Town of colonie, ny",32661.0
649,Board of governors of the colorado state university system,46618.0
650,Colstrip energy limited partnership,419390.0
651,San bernardino county - solida waste management division,77596.0
652,Glencore,164.0
653,"Columbia gas transmission, llc",218229.0
654,Columbia gas transmission llc,29408.0
655,"Columbia gulf transmission, llc",666287.0
656,"City of columbia, mo",58348.0
657,Trustees of columbia university,81211.0
658,Columbian chemicals company,118111.0
659,Columbian chemicals,283504.0
660,Columbus consolidated government,128262.0
661,Commonwealth environmental systems,1327.0
662,"Community refuse service, inc.",103404.0
663,Hopkinsville elevator company,55290.0
664,"Commonwealth plywood company, ltd",907.0
665,Conagra foods inc.,205225.0
666,Region 2000 services authority,24217.0
667,John sexton sand & gravel,8135.0
668,Republic services,8135.0
669,"Southcross gathering, ltd",79882.0
670,Exelon corp,2076443.0
671,Continental carbon company,474702.0
672,"Summit materials, llc",559242.13
673,"Midsouth holding, llc",1662.0
674,"Continental tire the americas, llc",59959.0
675,Trc solutions inc.,49050.0
676,Cooper tire and rubber co,26051.0
677,Cooper tire & rubber company,60994.0
678,"Corn, lp",173327.0
679,Corn plus ethanol,38057.0
680,Corning incorporated,181562.0
681,Corning inc.,29017.0
682,"Corona energy partners, ltd.",68516.0
683,South central solid waste authority,43785.0
684,Cortland county highway department,38363.0
685,Cowtown gas processing partners l.p.,148592.0
686,Countrymark cooperative llp,199024.0
687,Covanta energy corporation,151038.0
688,Covanta holding corporation,79687.0
689,Covanta holding corporation,2831974.4
690,Covanta holding corp,59048.0
691,Covanta energy,395558.0
692,Covanta holdings,443086.0
693,Covanta holdings corp,62229.0
694,"Dominion resources, inc.`",173545.0
695,Bayer group,26826.0
696,Cowlitz county,22226.0
697,"County of orange, oc waste & recycling",199544.0
698,J. m. huber corporation,74988.0
699,Craighead co. solid waste disposal authority,77935.0
700,Greater new bedford regional refuse management district,21052.0
701,Crawford county board of commissioners,141632.0
702,Salinas valley solid waste authority,26871.0
703,Inergy propane lp,30070.0
704,"Crittenden county, ar",62139.0
705,Crockett cogeneration a california limited partnership,678045.0
706,Crook county government,22157.0
707,"Crosstex lig, llc",44348.0
708,"Crosstex processing services, llc",165649.0
709,Csl behring llc,31603.0
710,Cumberland county solid waste management,45333.0
711,Cumberland county improvement authority,55007.0
712,"Cutrale citrus juices usa, inc.",120124.0
713,Cytec industries inc.,398955.0
714,"Mdu resources group, inc.",1018458.0
715,Nrg energy inc.,32608359.0
716,Southwestern energy company,832946.0
717,Caesars entertainment corporation,73253.0
718,Caithness long island llc,796374.0
719,Santa fe solid waste management agency,7958.0
720,Starwood energy group,40377.4
721,Tyr energy,2596.4000000000005
722,Starwod energy group,7878.400000000001
723,Try energy,3601.8
724,"Taiheiyo cement u.s.a., inc.",1605397.0
725,"Texas industries, inc",2404639.0
726,"Nextera energy, inc.",1614644.0
727,"City of lubbock, texas",137108.0
728,California institute of technology,60295.0
729,Occidental petroleum corporation,5284901.75
730,Occidental petroleum corporation/vintage production california llc,6329.0
731,City of redlands municipal utilities department,17850.0
732,Connacher oil and gas,131188.0
733,"Nustar energy, l.p.",178677.0
734,"Campbell county, virginia",38666.0
735,Northern star generation services llc,1111646.0
736,Great river energy,10753603.0
737,Camden county government,56289.0
738,Camden plant holding llc,192407.0
739,Scana corporation,14653301.0
740,Florida municipal power agency,1282967.0
741,Lg&e and ku energy llc,33716289.0
742,Invenergy llc,332149.23
743,Canton drop forge,58627.0
744,Florida power and light company,31593477.0
745,", inc  [registered agent: the corporation trust company of nevada]",53157.0
746,Carbide industries llc,51872.0
747,Berkshire hathaway inc.,23951900.6
748,Cargill inc,33273.0
749,Cargill inc.,45984.0
750,"Cargill,incorporated",29446.0
751,The mosaic company,1631834.0
752,Arkansas electric cooperative corporation,456628.0
753,"Zeledyne, llc",127292.0
754,Carmeuse north america,1063632.0
755,Calypso energy holdings llc,3346243.0
756,Atlantic power generation,574494.0
757,Municipality of carolina,67573.0
758,Toolrock holdings inc.,68511.0
759,Brookfield renewable power,14144.0
760,Central valley financing authority,150596.0
761,Carson cogeneration company,156528.0
762,Regional refuse disposal district,48480.0
763,Rochester public utilities,102128.0
764,"Boise, inc",59054.0
765,Omaha public power district,11533080.0
766,"Castleton energy center, llc",66673.0
767,New page holding corporation,484085.0
768,Caterpillar inc,82099.0
769,Snohomish county,31531.0
770,Marathon petroleum company lp,9237981.0
771,Catoosa county,21053.0
772,Cavendish america inc.,35256.0
773,Aes eastern energy lp,1728255.0
774,Cecil county board of commisioners,59779.0
775,Cogentrix energy llc,2066263.0
776,"Optim energy, llc  c/o competitive power ventures",435196.0
777,Lamar county regional solid waste authority,36516.0
778,Cedar rapids linn county solid waste agency,99132.0
779,City of corpus christi,277058.0
780,"Cellu tissue holdings, inc.",148933.0
781,Central disposal,24288.0
782,"Sarasota county, fl",190159.0
783,Waste services of bluegrass,54350.0
784,Central minnesota ethanol co-op,32774.0
785,Transalta centralia generation llc,9862998.0
786,"Enerprise field services, llc",443347.0
787,Genon energy inc.,7510032.0
788,"Associated electric cooperatie, inc.",463280.0
789,Centerpoint energy resources corp,507942.0
