firm_name,Ticker,Price_Before,Price_After,permno,naics2,naics3,naics4,dValue_CAPM,dValue_10CI,dValue_15CI,lobby,outlier,US_revenue_share,carbon_intensity
JP MORGAN CHASE,JPM,24.76,26.56,47896,52,522,5221,-9153837550.2272,-9406563661.56668,-9732312368.35951,10510000.0,1,,0.0740000009536743
KIMBERLY CLARK,KMB,30.44,36.26,17750,32,322,3222,750462312.041083,745892787.096956,729670841.964694,380000.0,0,0.503233671188354,0.607999980449677
LENNOX INT,LII,26.33,36.49,87034,33,336,3363,103361757.442707,103186614.165308,97893616.8370829,510000.0,0,0.721194505691528,0.100000001490116
LOCKHEED MARTIN,LMT,52.9,51.36,21178,33,336,3364,642915054.303704,640729320.301718,613774322.420897,16240000.0,0,1.0,0.100000001490116
MARATHON OIL,MRO,15.03,14.05,15069,21,211,2111,-387197280.724402,-391351796.729516,-445397684.7422,9610000.0,0,0.837755262851715,0.897000014781952
MARRIOTT INT,MAR,19.82,26.76,85913,72,721,7211,115733297.075539,102188718.55737,77559584.6910317,470000.0,0,,0.259999990463257
MASCO,MAS,7.53,8.74,34032,33,337,3371,141821058.655106,130739169.676459,113767940.831556,120000.0,0,,0.120999999344349
MCDONALDS,MCD,39.28,45.44,43449,72,722,7222,-1168870450.04483,-1169086751.02285,-1227456415.19128,200000.0,0,0.343097686767578,0.259999990463257
MDU RESOURCES,MDU,8.6,8.05,23835,22,221,2212,19752251.5081859,20038558.5685954,12736252.4844472,180000.0,0,,0.0
METLIFE,MET,17.92,23.17,87842,52,524,5242,-1517271458.80138,-1581977544.37191,-1651549378.84958,3260000.0,0,,0.0740000009536743
MICRON TECH,MU,5.22,8.51,53613,33,334,3344,-13669119.8068019,-20383005.8769076,-46722431.2798123,1060000.0,0,0.179310828447342,0.0799999982118607
MINNESOTA MINING & MFG,MMM,28.69,38.99,22592,33,339,3391,744171281.201733,731736016.678271,656738182.430128,2920000.0,0,0.35650497674942,0.0729999989271164
MURPHY OIL,MUR,31.91,27.68,28345,32,324,3241,345994343.633219,346534889.626926,322321339.80801,230000.0,0,0.729464769363403,1.21000003814697
NAT GRID,NGG,22.13,19.43,87280,22,221,2211,-63434142.0315106,-62926550.650474,-64081442.7611545,3790000.0,0,0.631198763847351,0.0
NEXEN,NXY,25.72,21.27,30277,21,211,2111,87346034.6454284,85357025.1139466,45364950.4980606,290000.0,0,,0.897000014781952
NIKE,NKE,12.32,15.05,57665,31,316,3162,-1101908466.60058,-1141686206.12836,-1191423278.93755,720000.0,0,0.341200768947601,0.0719999969005585
NISOURCE,NI,2.54,3.56,38762,22,221,2211,32858762.2255641,34960653.7088728,29418276.0526284,910000.0,0,1.0,0.0
NOKIA,NOK,9.9,6.41,87128,33,334,3342,974830894.216105,959840102.64794,940623305.41925,450000.0,0,0.0403188616037369,0.0799999982118607
NORFOLK SOUTHERN,NSC,27.83,39.84,64311,48,482,4821,1197978000.63293,1203483052.37922,1162294598.47257,9943571.0,0,,1.21700000762939
NORTHWESTERN,NWE,11.99,14.62,90458,22,221,2211,23589445.2539624,24260125.0082336,23372078.1039564,80000.0,0,1.0,0.0
NUCOR,NUE,30.71,27.93,34817,33,331,3312,241308728.171157,233534052.216556,196158658.981703,2040000.0,0,1.0,1.05400002002716
OCCIDENTAL PETROLEUM,OXY,43.16,50.72,34833,21,211,2111,-2333311540.60027,-2318095645.40385,-2471978578.27884,3984636.0,0,0.633724093437195,0.897000014781952
OWENS ILLINOIS,OI,28.76,28.27,77157,32,327,3272,139412265.667041,140486839.912392,123348816.327478,884000.0,0,,1.61300003528595
PEPCO HLDGS,POM,32107.0,30100.3,23501,22,221,2211,-92269721.6767704,-89764954.4127472,-93622239.8820861,1865000.0,0,1.0,0.0
PEPSICO,PEP,34.27,41.73,13856,31,312,3121,2284702143.49824,2293590615.73688,2241679096.43273,6477500.0,0,0.524286925792694,0.0829999968409538
PG&E,PCG,27.15,30.53,13688,22,221,2211,206433379.841925,215941682.558107,206049965.25905,49660000.0,0,1.0,0.0
PINNACLE WEST CAPITAL,PNW,15.1,19.71,27991,22,221,2211,-1733009.74941013,-108654.717578091,-4536928.60172557,1120000.0,0,1.0,0.0
PNM RESOURCES,PNM,6.29,8.01,55511,22,221,2211,-62065536.429633,-61240532.4780367,-63332130.1292404,650000.0,0,1.0,0.0
PORTLAND GEN ELECTRIC,POR,10.73,11.11,91204,22,221,2211,-20072720.3849965,-19687180.9689509,-21602255.9868504,495000.0,0,1.0,0.0
POTLATCH,PCH,12.39,16.29,49744,32,322,3221,-127374635.596845,-129111756.347392,-132164463.362451,170000.0,0,1.0,0.607999980449677
PPG IND,PPG,17.39,24.47,22509,32,325,3255,274426557.792093,271311037.3824,250309707.030089,1536984.0,0,0.418335378170013,0.619000017642975
PPL,PPL,15.68,12.07,22517,22,221,2211,-518920331.061875,-510327062.227699,-533356557.71066,1864000.0,0,0.90751451253891,0.0
PROCTER & GAMBLE,PG,34.3,40.52,18163,32,325,3256,7372435556.42523,7395466590.9043,7223764619.98603,6170891.0,0,0.38432389497757,0.619000017642975
PRUDENTIAL FINANCIAL,PRU,23.02,33.52,89258,52,524,5241,-180061599.561659,-233156350.91384,-274321601.436273,12700000.0,0,0.658732354640961,0.0740000009536743
PUBLIC SERVICE ENTERPRISE,PEG,18.88,17.74,23712,22,221,2212,-36854639.5869627,-25457158.9759374,-45369188.5921651,4950000.0,0,1.0,0.0
RENTECH,RNT,8.5,10.83,76978,21,211,2111,-18953865.4970645,-18470328.1545022,-19200165.1131479,40000.0,0,,0.897000014781952
RES IN MOTION,RES,3.76,3.91,86745,33,334,3342,1674344371.68183,1651333757.92584,1541623680.34855,2688794.0,0,0.603067398071289,0.0799999982118607
RIO TINTO,RIO,17.57,19.09,76221,21,212,2122,-137989729.430842,-141650294.69984,-157999901.854402,1313975.0,0,0.116659060120583,0.897000014781952
SAP,SAP,34.65,34.02,89382,51,511,5112,-149168007.041373,-149418472.021554,-157532696.92214,2284956.0,0,0.256359666585922,0.0270000007003546
SASOL,SSL,23.28,21.73,68866,21,211,2111,-86490020.317383,-86134421.1027922,-90973374.1135549,360000.0,0,,0.897000014781952
SEMPRA ENERGY,SRE,14.57,14.44,86136,22,221,2212,192263430.30389,200219026.969066,188628103.444802,1570000.0,0,0.911989569664001,0.0
SOUTHERN,SO,14.82,17.45,18411,22,221,2211,248872122.689506,268031060.176299,249337861.662459,13130000.0,0,1.0,0.0
SOUTHWEST AIRLINES,LUV,6.16,10.95,58683,48,481,4811,686529818.666312,684164544.784283,674734670.459818,320000.0,0,1.0,1.21700000762939
STARBUCKS,SBUX,5.83,10.09,77702,72,722,7222,748057793.043667,746152688.964662,719455417.306982,730000.0,0,0.787599563598633,0.259999990463257
TEMPLE INLAND,TIN,4.21,10.22,66114,32,322,3221,32136221.3842517,29457361.1537446,23293921.515176,140000.0,0,0.942315280437469,0.607999980449677
THERMO FISHER SCI,TMO,37.95,48.51,62092,33,339,3391,552148389.679504,560809062.018425,532772886.639419,755000.0,0,0.571722269058228,0.0729999989271164
TIMKEN,TKR,9.67,14.96,14795,33,332,3329,116150952.2552,115900642.157694,108289062.754138,712149.0,0,0.637553095817566,0.187999993562698
TOYOTA MOTOR,TM,68.97,61.32,76655,33,336,3361,153284684.819973,153480876.195046,148363074.108675,3462760.0,0,,0.100000001490116
TRANSCANADA,TRP,14.72,16.93,67774,48,486,4862,-76527112.6326457,-85056747.8362518,-113017825.909458,90000.0,0,0.119748882949352,1.21700000762939
TYCO ELETRONICS,TEL,14.02,21.25,92157,33,334,3344,-343862789.619562,-351475872.945038,-381487758.688667,1518000.0,0,0.300894349813461,0.0799999982118607
TYSON FOODS,TSN,10.34,13.42,77730,31,311,3116,26601009.1567488,27459578.1472557,22629286.4884408,1268651.0,0,0.9650057554245,0.221000000834465
UAL,UAL,4.97,19.35,91103,48,481,4811,281472673.886796,278397491.656735,275444772.443914,2970000.0,0,0.6381756067276,1.21700000762939
UNION PACIFIC,UNP,19.01,26.18,48725,48,482,4821,931253315.101578,930596262.819937,845631652.482247,7884749.0,0,1.0,1.21700000762939
UNITED PARCEL SERVICE,UPS,33.45,40.18,87447,49,492,4922,-94439271.6221426,-93625582.6156691,-167312617.06645,11282322.0,0,0.750769257545471,1.21700000762939
US GEOTHERMAL,HTM,9.78,4.61,92636,22,221,2211,7362555.77659204,7522630.97813741,7205787.6742,90000.0,0,,0.0
USA STEEL CORP,X,32.86,39.45,76644,33,331,3312,-4730012.89647241,-6090000.41512924,-32251707.4601992,4890000.0,0,,1.05400002002716
USEC,USEG,115.04,285.58,86233,21,212,2123,13332113.4539654,13966944.1754597,11918713.6830189,2890000.0,0,0.709623694419861,0.897000014781952
VECTREN,VVC,0.2,0.19,51633,22,221,2212,-11039810.8027206,-9502066.78124646,-12186012.1704235,150000.0,0,1.0,0.0
VERIZON COMMUNICATION,VZ,12.92,12.78,65875,51,517,5171,2766530240.08602,2787829511.04126,2736088482.33772,2960000.0,0,1.0,0.0270000007003546
VULCAN MATERIALS,VMC,41.66,44.32,15202,21,212,2123,70574538.8865309,68143236.8192913,52264644.3272203,190000.0,0,1.0,0.897000014781952
WAL MART STORES,WMT,12.18,12.53,55976,45,452,4529,-1324001065.98587,-1279730376.43479,-1449365886.97899,9340000.0,0,,
WEYERHAEUSER,WY,7.93,9.27,39917,11,113,1133,-170683687.407893,-190416237.024831,-205679962.760258,3730000.0,0,0.693671524524689,0.145999997854233
WILLIAMS,WMB,6.88,7.47,38156,48,486,4862,-689678496.417769,-684102198.418728,-716676243.25163,6010000.0,0,0.975566864013672,1.21700000762939
WISCONSIN ENERGY,WEC,12.58,15.45,23536,22,221,2211,-140844728.951698,-139372919.876712,-143971411.898293,518290.0,0,1.0,0.0
XCEL ENERGY,XEL,10.49,12.49,23931,22,221,2211,-215022350.930562,-211282170.747999,-218473541.228151,2580000.0,0,1.0,0.0
