"Company","Total GHG"
Aux Sable Liquid Products LLC,207598.0
Oneida-Herkimer Solid Waste Management Authority,62072.0
"Waste Connections, Inc.",2466844.0
Republic Industries,105657.0
Cleco Corporation,4077261.0
Entergy,613190.5
GDF SUEZ Energy North America,1043065.0
Ada County Solid Waste Management,165359.0
"Sid Richardson Carbon, Ltd.",1021709.0
Sunoco Inc. R&M,125943.0
Ameren,58893386.0
Public Service Company of New Mexico,210945.0
Agra Resources Coop dba POET Biorefining Glenville,61483.0
Agrium U.S. Inc.,169119.0
Salt River Project,8212476.0
City of Colton,16539.0
Trident Seafoods Corporation,36933.0
"Mohawk Industries, Inc",33390.0
Alamance County,103200.0
Albert Einstein College of Medicine,39444.0
"FirstEnergy Generation, LLC",50121694.0
Monongahela Power Company,11672992.87
Connecticut Municipal Electric Energy Cooperative,4946.0
"Algonquin Power Windsor Locks, LLC",183880.0
"Iberdrola USA, Inc.",29353.0
Allegheny Energy,8931964.260000002
"FirstEnergy Generation, LLC",8870208.37
"Xcel Energy, Inc.",36025439.0
"Allens, Inc.",25410.0
Devon Energy,908587.0
Dairyland Power Cooperative,4226287.0
TURLOCK IRRIGATION DISTRICT,27517.0
Alon USA,43296.0
Alphapet Inc.,24607.0
Alstom Grid Inc,170.0
Veresen U.S. Power Inc.,138530.0
"Altair Disposal Services, LLC",30362.0
DOMINION RESOURCES INC,51198826.0
Anadarko Petroleum Corporation,1456476.24
Napa Vallejo Waste Management Authority,51676.0
American Sugar Refining Inc.,118672.0
American Sugar Refining Inc,87920.0
"City of Ames, Iowa",448698.0
Western Farmers Electric Cooperative,3640078.0
City of Anaheim,22519.0
Anchor Glass Container Corporation,673388.0
"Progress Energy, Inc.",23618039.0
Indiana Municipal Power Agency,3913.0
Waste Connections Inc.,555762.0
Garco Energy LLC,3611.0
Basin Electric Power Cooperative,14267751.0
Arizona Electric Power Cooperative,2281313.0
"LS Power Development, LLC",1986902.0
Appleton Coated LLC,155109.0
GP,1710258.0
"MarkWest Energy Partners, L.P.",823052.0
Southwest Generation Operating Company,605897.0
Saint-Gobain Containers Inc.,968552.0
Saint-Gobain Containers Inc,98427.0
"Leone Industries, Inc.",53787.0
Municipality of Arecibo,153540.0
Vulcan Materials Company,526383.0
"Lafarge North America, Inc.",6361022.0
Southern Ute Indian Tribe,117800.31000000001
Kinder Morgan,113180.68999999999
Arkema Inc,20022.0
Kinder Morgan W2E Pipeline LLC,361860.0
COPREX LLC,180930.0
"P&S Project I, LLC",180930.0
City of Arlington,209742.0
"Enterprise Hydrocarbons, L.P.",234881.0
"IPR-GDF SUEZ North America, Inc.",4327407.0
"Armstrong World Industries, Inc",92627.0
Plains Exploration & Production Company,909831.0
American Electric Power,112654854.5
"NRG Energy, Inc",8341981.0
City of Tallahassee,1215204.0
The Empire District Electric Company,2108737.0
"Ascend Performance Materials, LLC",503870.0
Grace Pacific Corporation,46819.9
Jas W Glover Ltd,620.1
"Astoria Generating Company, L.P.",1321149.0
"Texas Eastern Transmission, L.P.",1161652.0
MACH Gen,2288949.0
Solid Waste Management Company of Atkinson County,24600.0
BP America Inc.,21162663.36
Atmos Energy Corporation,35045.0
Entergy Corporation,23154218.22
Calpine Corporation,37113755.0
Aucilla Area Solid Waste Facility,38259.0
Auriga Polymers Inc.,117144.0
"GenOn Energy, Inc",17758867.0
"PPG Industries, Inc.",1417323.0
Georgia Gulf Corporation,1524206.0
B.Braun Medical Inc.,53483.0
CMS Energy,11727196.5
"RC Cape May Holdings, LLC",603884.0
Badger Creek Ltd,180623.0
Badger State Ethanol,90534.0
County of Riverside,42166.0
Energy Transfer Partners LP,831877.0
City of Bakersfield,9930.0
Baldwin County,124264.0
Ball State University,79489.0
"The Williams Companies, Inc.",2881213.9
"Barrow Utilities & Electric Cooperative, Inc.",42689.0
San Bernardino County - Solid Waste Management Division,145442.0
Bartholomew County Solid Waste Management District,82449.0
Barton County,31744.0
BASF Corporation,3756522.0
BASF CORPORATION,52520.0
Basic American Foods,84525.0
City of Bath,17168.0
Page County,54446.0
BAXTER INTERNATIONAL INC.,6695.0
"Bay County, Florida",43856.0
"TreeHouse Foods, Inc.",95956.0
Bayer Corporation,535717.0
"Swift Energy Operating, LLC",56416.0
South Utah Valley Solid Waste District,53956.0
"AIM Midstream Holdings, LLC",36610.84
"American Midstream GP, LLC",747.16
ArcelorMittal Holdings LLC,66465.0
"Thermal Ventures II, L.P.",100067.0
White Birch Paper Company,73065.0
Bear Mountain Ltd.,188000.0
EXXONMOBIL CORP,6726730.0
"Rumpke Waste, Inc.",224998.0
John Sexton Contractors,41049.0
"Waste Management of Illinois, Inc.",41049.0
Bellefield Boiler Plant,83754.0
WTG Benedum Joint Venture,57563.0
Halliburton,79212.0
Berkeley County Water and Sanitation,86955.0
Beta Offshore,44262.0
Council of Dorchester County,16809.0
Montgomery County Government,218300.0
Enviro Solutions Inc.,141488.0
"Alon USA Energy, Inc.",655488.0
FJ Management Inc.,246386.0
"Solid Waste Division, City of Bllings, Montana",483284.0
"Biogen Idec, Inc",35794.0
Kyowa Hakko Bio,26727.0
NewPage Holding Corporation,2501241.0
Black Hawk County Landfill,39070.0
Black Warrior Solid Waste Disposal Authority,316671.0
Catawba County,52610.0
"Enterprise Field Services, LLC",315016.0
Blandin Paper Company,22810.0
Occidential Petroleum Corporation,301065.3
Blue Heron Paper Company,85725.0
Blue Island Phenol LLC,54029.0
"City of Lincoln, Nebraska",355096.0
"S.B. Acquisitions, Inc.",36838.0
Boise Inc,179306.0
Boise Paper Holdings LLC,100891.0
"Boise Paper Holdings, LLC",179873.0
Boise Inc.,178321.0
"Bonanza Creek Energy, Inc.",24639.0
Bountiful City,45570.0
Town of Bourne,29754.0
Husky Energy Inc.,645144.5
"ONEOK Partners, L.P.",975510.5
"Bradley County, TN",123624.0
"Braskem America, Inc.",32586.0
"Braskem America, Inc",27080.0
"Chesapeake Midstream Partners, LP",271186.0
Brevard County Board of County Commissioners,220046.0
"Bridgeport Ethanol, LLC",49810.0
"Bridgestone Americas Holding, Inc.",26206.0
"Bridgestone Americas, Inc",54951.0
"Bridgestone Americas Tire Operations, LLC",48541.0
Brigham Young University,53522.0
Oswego County Department of Solid Waste,29334.0
"City of Bristol, Virginia",176166.0
City of Broken Arrow,2483.64
"Eagle Rock Operating, L.P.",38451.0
Town of Brookhaven,2183.0
City of Wichita,198662.0
Broome County Division of Solid Waste Managment,87914.0
Broward County Solid Waste and Recycling Services - Solid Waste Operations Division,32549.0
Brown County Port & Solid Waste Department,9793.0
Brown County,40293.0
Brown University,31072.0
Brown-Forman Corporation,46217.0
Republic Services,341691.0
Verso Paper Corp.,1073468.0
"County of Santa Cruz, Department of Public Works",85158.0
Doe Run Resources Company,125280.0
Buncombe County,62406.0
Buncombe County Solid Waste Services,4638.0
"Bunge North America, Inc.",217258.0
"Solae, LLC",193485.0
LLC,196020.0
", Inc",91351.0
"Bunge Oils, Inc.",39504.0
City of Burbank,13232.0
Burlington County,52949.0
"Bushmills Ethanol, Inc.",76497.0
"Sowega Energy Resources, LLC.",74859.85
"Tejas Power Generation, LLC.",40309.149999999994
Northern Indiana Public Service Company,16116942.0
"Dynegy, Inc.",28156001.0
"C/R Energy Jade, LLC",881944.0
Edison International,33880404.0
Barrick Gold Corporation,255535.0
Southern Company,98652305.75
Direct Energy LP,1652215.0
"Seneca Power Partners, LP",16311.0
"Bavarian Trucking Company, Inc.",48035.0
Bayonne Plant Holding LLC,121462.0
"NRG Energy, Inc.",85413.0
Tampa Electric Company,15018133.0
Nextera Energy Resources,548236.0
Nebraska Public Power District,10837147.0
Northern Natural Gas Company,266429.0
"Beaulieu Group, LLC",34774.0
Portland General Electric Company,3908114.3000000003
Integrys Energy Group Inc.,102592.75
PVR Midstream LLC,150365.0
"Dominion Resources, Inc.",446477.0
"Sarasota County, Fl",85046.0
Duke Energy Corporation,53133731.77
"Northeast Energy Associates, LP",433650.0
Orion Engineered Carbons LLC,176190.0
IDACORP,88523.0
Pepco Holdings Incorporated,219213.0
Contour Global,22609.0
Public Service Enterprise Group,7870409.0
"EIF Berkshire Holdings, LLC",399469.0
Berry Petroleum Company,1059736.0
"Public Service Enterprise Group, Inc",5182872.0
Luminant Generation Company LLC,51103248.0
"Louisiana Generating, LLC",10778807.42
Entergy Corporation,1754689.58
"Western Wisconsin Energy, LLC",83022.0
Merced County Regional Waste Management,25426.0
"Standard Binghamton, LLC",3762.0
GE Energy Financial Services,396094.0
"J-Power Development Co, LTD.",396094.0
Jonah Gas Gathering Company,507790.0
Chevron Corporation,12327321.72
Dynegy Inc.,181493.5
UniSource Energy Corporation,777389.0
County of Greenville,188204.0
"Great Point Power, LLC",1126146.0
QEP Resources Inc,62656.0
Madison Gas and Electric Co.,119041.0
"Crosstex North Texas Gathering, LP",172626.0
"Pioneer Natural Resources USA, Inc.",371710.75
Reynolds Group Holdings Inc.,1276996.0
City of Independence,177257.0
Islip Resource Recovery Agency,67780.0
The Boeing Company,89463.0
Agave Energy Company,27602.0
Metropolitan Government of Nashville and Davidson County,118592.0
"Orion Engineered Carbons, LLC",593572.0
"BosPower Partners, LLC",256786.0
Trustees of Boston University,54444.0
Allete,9559457.0
Northern Tier Solid Waste Authority,26164.0
Constellation Energy,8415582.0
JEA,12657952.4
Panda Energy,262242.0
Bridgeport Energy LLC,1260052.0
Bristol-Myers Squibb Company,67160.0
"T S Landfill, Inc.",8929.0
City of Pasadena,72492.0
New York City Department of Environmental Protection,42741.0
B-41 Associates,505558.5
Mission Energy New York,505558.5
"CEMEX, INC",1302441.0
City of Brownsville,125798.0
"PPL Generation, LLC",18680435.0
Bicent Power LLC,954070.23
"Veresen U.S. Power, Inc.",57469.0
City of Bryan,78324.0
CONSOL Energy Inc.,180081.0
"Buchanan Generation, LLC",15120.5
Hess Corproation,523431.0
", LLC",43315.0
Alliant Energy Corporation,12810359.879999999
"Enterprise Gas Processing, LLC",421710.92000000004
"Algonquin Gas Transmission, LLC",183066.0
Public Works Commission of the City of Fayetteville,51017.0
City of Lakeland - Lakeland Electric,2021485.0999999999
City of Orlando - OUC,340875.89999999997
Grand Island Utilities Department,671794.0
IMERYS USA Inc.,321977.0
Citizens Energy Group,401955.0
TransAlta Corporation,41595.0
Cabot Corporation,808433.0
CABOT CORPORATION,5389.0
Norit Americas Inc.,463261.0
Los Angeles County Sanitation Districts,854356.0
"Transworld Oil USA, Inc.",371809.0
Calgon Carbon Corporation,36335.0
"California Dairies, Inc.",157460.0
JFE Holdings,83826.0
Vale SA,83826.0
Calumet Specialty Products Partners,32736.0
"Calumet Shreveport Lubricants and Waxes, LLC",369114.0
"Calumet Lubricants Company, L.P.",105262.0
"Calumet Lubricants Company, LP",112249.0
Murphy Oil Corporation,1499196.0
Foster Wheeler Power Systems,5.9399999999999995
City of Farmers Branch,140315.0
"PSI Midstream Partners, L.P.",108266.0
Campbell Soup Company,226290.0
"Lopez Foods, Inc.",4383.0
"Eagle Rock Field Services, L.P.",60630.0
City of Canton Sanitary Landfi8ll,28833.0
Cape May County Municipal Utilities Authority,61198.0
Capitol Aggregates,355696.0
"United States of America, acting by and through the Architect of the Capitol",83114.0
"Caraustar Industries, Inc.",113250.0
CARBO Ceramics Inc.,203570.0
"Carbon Green BioEnergy, LLC",76922.0
"Cardinal Cogen, Inc.",243280.0
"Cardinal Ethanol, LLC",164125.0
"Cardinal Glass Industries, Inc.",192183.0
Cardinal Glass Industries,94252.0
Cardinal Glass Industries Inc,95088.0
Cardinal FG,95028.0
Carestream Health Inc.,26003.0
Cargill,82944.0
Cargill Incorporated,2450021.0
"Cargill, Incorporated",345827.0
"Cargill, Inc.",103637.0
"EAGLE ROCK FIELD SERVICES, L.P.",44759.0
International Textile Group,33992.0
Precision Cast Parts Corp.,26077.0
Carmeuse Lime and Stone Inc.,396870.5
"Carmeuse Lime & Stone, Inc.",3189183.0
"Carmeuse Lime, Inc.",87589.0
Carmeuse Lime and Stone,251773.0
"Carmeuse Lime & Stone, Inc",633791.0
Carmeuse Lime & Stone,827405.0
Carolina Stalite Company,70999.0
Carpenter Technology Corporation,152937.0
Carus Corporation,27017.0
International Grand Investment Corporation,78490.0
"Schnitzer Steel Industries, Inc.",70575.0
Cascades USA inc,25324.0
City of Casper,54911.0
Caterpillar Inc.,143765.0
Maricopa County solid Waste Managment,33250.0
"CC Metals and Alloys, LLC",386849.0
Patara Oil & Gas LLC,56162.0
"CEMEX, Inc.",727001.0
CEMEX Inc.,50341.0
CEMEX,2241276.0
"CEMEX, Inc",1460857.3599999999
"Cemex, Inc.",440288.0
"CEMEX de Puerto Rico, Inc.",361202.0
Center Ethanol Company LLC,88702.0
"Farmers Union Industries, LLC",56672.0
Central Michigan University,14604.0
"Central Indiana Ethanol, LLC",75177.0
County of Maui,24300.0
Waste Corporation of Missouri,146748.0
Local Government,48895.0
Worcester County Department of Public Works,127671.0
"TransLoad America, Inc.",111065.0
Century Aluminum Company,520387.0
City of Albuquerque,30728.0
CertainTeed Corporation,74438.0
Saint-Gobain North America,103216.0
Saint-Gobain Corporation North America Inc.,40230.0
Saint-Gobain Corporation,30952.0
EVRAZ Inc. NA,286132.0
"CF Industries Holdings, Inc.",9229042.0
"CF Industries, Inc.",1448598.0
Carroll Grayson Galax Solid Waste Authority,41535.0
CGS Services Inc.,158891.0
"Chalk Cliff, Ltd.",174645.0
Chalmette Refining LLC,1833245.0
LyondellBasell Industries,6012990.0
Gerdau,324142.0
Charles County Department of Public Facilities,47096.0
City of Garland,189000.0
Charleston County Government,117100.0
"Charlotte County, Fl",581254.0
Charlotte Pipe & Foundry Company,29493.0
Charter Manufacturing,136993.0
Charter Manufacturing Co. Inc.,96865.0
City of Mobile Environmental Services Dept.,38080.0
"Waste Management, Inc.",1298593.75
"Quantum Resources Management, LLC",129528.0
E. I duPont de Nemours and Company,5795.0
E.I. du Pont de Nemours and Company,59183.0
E. I. duPont de Nemours and Company,1800616.0
E.I. duPont de Nemours and Company,4362060.0
"Casella Waste Systems, Inc.",639677.0
"Aurora Energy, LLC",390200.0
LSB Chemical Corporation,411709.0
"Merck & Co., Inc.",241791.0
Chevron Phillips Chemical Company LP,1846346.0
CHEVRON CORPORATION,23546.5
CONOCO PHILLIPS,43920.0
City of Cheyenne,71992.0
Ameresco Chicopee LFGTE,44456.0
"Ziemax, Inc.",44456.0
"Chief Industries, Inc.",179171.0
Childrens Hospital Medical Center,27704.0
County of Kern,18945.0
Chippewa Valley Agrafuels Cooperative,72493.0
CONOCO PHILLIPS,122351.0
SPECTRA ENERGY CORP,142724.5
Chrin Brothers Inc.,77979.0
"O'Brien Industrial Holdings, LLC",28024.0
"CHS, Inc.",890627.0
CHS Inc.,147819.0
National Cooperative Refining Ass,897904.0
GTL Resources USA Inc,141730.69999999998
"Chugach Electric Association, Inc.",1326254.0
CSU Trustees and CSUCI Site Authority,106110.0
El Paso Corporation,2292359.0
"sanofi aventis, Inc.",36553.0
PDV Holding Inc,1573571.0
PDV Holding Inc.,6353672.0
Citrus County Board of County Commission,309993.0
"Citrus World, Inc.",76737.0
City and County of Honolulu,128409.0
City of Albemarle Landfill,36605.0
City of Amarillo,132218.0
City of Baton Rouge,140603.0
City of Beaumont,243220.0
"City of Bozeman, Montana",14779.0
"City of Chattanooga, Tennessee",199895.0
City of Conway,106196.0
City of Corsicana,87340.0
City of Denton,35053.0
City of Durham,12379.0
City of Edinburg,113955.0
City of Elko,23509.0
The City of Fargo,114723.0
City of Flagstaff,85633.0
City of Fort Worth,206698.0
"City of Fresno, Department of Public Utilities",13958.0
City of Glendale,49616.0
City of Grand Prairie,111975.0
"City of Greensboro, North Carolina",334279.0
City of Harrisonburg Resource Recovery Facility,15473.0
"City of LaGrange, Georgia",37857.0
City of Logan,48169.0
City of Lompoc,34829.0
City of Midland,202771.0
City of Mountain View,68348.0
Muscatine County Solid Waste Agency,49601.0
City of Phoenix,185350.0
City of Santa Cruz,8926.0
City of Snyder,22820.0
City of Sunnyvale,2434.0
City of Tifton,47345.0
City of Ukiah,26214.0
City of Watsonville,9595.0
LES,32095.0
"Clarion Industries, Inc",12918.0
Clark County Board of Commissioners,49422.0
Floyd County Board of Commissioners,49422.0
Clear Air Force Station - US Air Force,89993.0
Celanese Corporation,831421.0
Clearwater Paper Corporation,431185.0
Clemson University,28187.0
Local County Government,120847.0
"Cleveland Thermal, LLC",173349.0
U.S. Sugar Corp.,39297.0
Clinton County Solid Waste Authority,44362.0
Clinton County Area Solid Waste Agency,38526.0
"Coulter Companies, Inc.",174505.0
"Clover Flat Landfill, Inc.",16743.0
City of Clovis,40532.0
Commercial Metals Company,393834.0
NorthWestern Energy,15664.0
Coffee County Commission,67585.0
CVR Energy,1234378.0
"Town of Colonie, NY",32661.0
Board of Governors of the Colorado State University System,46618.0
Colstrip Energy Limited Partnership,419390.0
San Bernardino County - Solida Waste Management Division,77596.0
Glencore,164.0
"Columbia Gas Transmission, LLC",218229.0
Columbia Gas Transmission LLC,29408.0
"Columbia Gulf Transmission, LLC",666287.0
"City of Columbia, MO",58348.0
Trustees of Columbia University,81211.0
Columbian Chemicals Company,118111.0
Columbian Chemicals,283504.0
Columbus Consolidated Government,128262.0
Commonwealth Environmental Systems,1327.0
"Community Refuse Service, Inc.",103404.0
Hopkinsville Elevator Company,55290.0
"Commonwealth Plywood Company, Ltd",907.0
ConAgra Foods Inc.,205225.0
Region 2000 Services Authority,24217.0
John Sexton Sand & Gravel,8135.0
Republic Services,8135.0
"Southcross Gathering, Ltd",79882.0
EXELON CORP,2076443.0
Continental Carbon Company,474702.0
"Summit Materials, LLC",559242.13
"Midsouth Holding, LLC",1662.0
"Continental Tire the Americas, LLC",59959.0
TRC Solutions Inc.,49050.0
COOPER TIRE AND RUBBER CO,26051.0
Cooper Tire & Rubber Company,60994.0
"CORN, LP",173327.0
Corn Plus Ethanol,38057.0
Corning Incorporated,181562.0
Corning INC.,29017.0
"Corona Energy Partners, Ltd.",68516.0
South Central Solid Waste Authority,43785.0
Cortland County Highway Department,38363.0
Cowtown Gas Processing Partners L.P.,148592.0
Countrymark Cooperative LLP,199024.0
Covanta Energy Corporation,151038.0
Covanta holding Corporation,79687.0
Covanta Holding Corporation,2831974.4
Covanta Holding Corp,59048.0
Covanta Energy,395558.0
Covanta Holdings,443086.0
Covanta Holdings Corp,62229.0
"Dominion Resources, Inc.`",173545.0
Bayer Group,26826.0
Cowlitz County,22226.0
"County of Orange, OC Waste & Recycling",199544.0
J. M. Huber Corporation,74988.0
Craighead Co. Solid Waste Disposal Authority,77935.0
Greater New Bedford Regional Refuse Management District,21052.0
Crawford County Board of Commissioners,141632.0
Salinas Valley Solid Waste Authority,26871.0
Inergy Propane LP,30070.0
"Crittenden County, AR",62139.0
Crockett Cogeneration A California Limited Partnership,678045.0
Crook County Government,22157.0
"Crosstex LIG, LLC",44348.0
"Crosstex Processing Services, LLC",165649.0
CSL Behring LLC,31603.0
Cumberland County Solid Waste Management,45333.0
Cumberland County Improvement Authority,55007.0
"Cutrale Citrus Juices USA, Inc.",120124.0
Cytec Industries Inc.,398955.0
"MDU Resources Group, Inc.",1018458.0
NRG Energy Inc.,32608359.0
Southwestern Energy Company,832946.0
Caesars Entertainment Corporation,73253.0
Caithness Long Island LLC,796374.0
Santa Fe Solid Waste Management Agency,7958.0
Starwood Energy Group,40377.4
Tyr Energy,2596.4000000000005
Starwod Energy Group,7878.400000000001
Try Energy,3601.8
"Taiheiyo Cement U.S.A., Inc.",1605397.0
"Texas Industries, Inc",2404639.0
"NextEra Energy, Inc.",1614644.0
"City of Lubbock, Texas",137108.0
California Institute of Technology,60295.0
Occidental Petroleum Corporation,5284901.75
Occidental Petroleum Corporation/Vintage Production California LLC,6329.0
City of Redlands Municipal Utilities Department,17850.0
Connacher Oil and Gas,131188.0
"NuStar Energy, L.P.",178677.0
"Campbell County, Virginia",38666.0
Northern Star Generation Services LLC,1111646.0
Great River Energy,10753603.0
Camden County Government,56289.0
Camden Plant Holding LLC,192407.0
SCANA Corporation,14653301.0
Florida Municipal Power Agency,1282967.0
LG&E and KU Energy LLC,33716289.0
Invenergy LLC,332149.23
Canton Drop Forge,58627.0
Florida Power and Light Company,31593477.0
", Inc  [Registered Agent: The Corporation Trust Company of Nevada]",53157.0
Carbide Industries LLC,51872.0
Berkshire Hathaway Inc.,23951900.6
CARGILL INC,33273.0
Cargill INC.,45984.0
"Cargill,Incorporated",29446.0
The Mosaic Company,1631834.0
Arkansas Electric Cooperative Corporation,456628.0
"Zeledyne, LLC",127292.0
Carmeuse North America,1063632.0
Calypso Energy Holdings LLC,3346243.0
Atlantic Power Generation,574494.0
Municipality of Carolina,67573.0
Toolrock Holdings Inc.,68511.0
Brookfield Renewable Power,14144.0
Central Valley Financing Authority,150596.0
Carson Cogeneration Company,156528.0
Regional Refuse Disposal District,48480.0
Rochester Public Utilities,102128.0
"Boise, Inc",59054.0
Omaha Public Power District,11533080.0
"Castleton Energy Center, LLC",66673.0
New Page Holding Corporation,484085.0
Caterpillar Inc,82099.0
Snohomish County,31531.0
Marathon Petroleum Company LP,9237981.0
Catoosa County,21053.0
Cavendish America Inc.,35256.0
AES Eastern Energy LP,1728255.0
Cecil County Board of Commisioners,59779.0
Cogentrix Energy LLC,2066263.0
"Optim Energy, LLC  c/o Competitive Power Ventures",435196.0
Lamar County Regional Solid Waste Authority,36516.0
Cedar Rapids Linn County Solid Waste Agency,99132.0
City of Corpus Christi,277058.0
"Cellu Tissue Holdings, Inc.",148933.0
Central Disposal,24288.0
"Sarasota County, FL",190159.0
Waste Services of Bluegrass,54350.0
Central Minnesota Ethanol Co-op,32774.0
TransAlta Centralia Generation LLC,9862998.0
"Enerprise Field Services, LLC",443347.0
